X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"17773",2019/02/20 00:00:00,2019/02/21 00:00:00+00,"133",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Banca,modis/sentinel,19.9999999999852,0,0,0,79.9999999999408,0,0,0,0,100,"0",2022/03/02 11:51:40.501,EU,EU
,,"17808",2019/10/13 00:00:00,2019/10/13 00:00:00+00,"43",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Gironde,Mios,modis/sentinel,0,57.7777777776494,0,0,0,42.2222222221284,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"17841",2019/07/17 00:00:00,2019/07/17 00:00:00+00,"76",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Gironde,Salles,modis/sentinel,0,47.3684210525692,0,0,0,52.6315789472992,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"17866",2019/02/22 00:00:00,2019/02/23 00:00:00+00,"34",FR,FRA,France,Occitanie,Midi-Pyrénées,Ariège,Ustou,modis/sentinel,63.8888888887114,0,0,0,36.1111111110108,0,0,0,0,0,"0",2022/03/02 11:51:40.501,EU,EU
,,"17872",2019/02/21 00:00:00,2019/02/25 00:00:00+00,"635",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Ossès,modis/sentinel,23.343848580438,0,0,0,67.0347003154468,6.62460567823239,2.99684542586703,0,0,14.7716453301752,"0",2022/03/02 11:51:40.501,EU,EU
,,"17893",2019/02/26 00:00:00,2019/02/26 00:00:00+00,"37",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Lacarry-Arhan-Charritte-de-Haut,modis/sentinel,59.9999999998286,0,0,0,39.9999999998857,0,0,0,0,2.16323650214319,"0",2022/03/02 11:51:40.501,EU,EU
,,"17899",2019/02/20 00:00:00,2019/02/20 00:00:00+00,"60",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Aramits,modis/sentinel,19.3548387096462,0,0,0,67.7419354837617,0,12.9032258064308,0,0,0.105989960746967,"0",2022/03/02 11:51:40.501,EU,EU
,,"17913",2019/01/07 00:00:00,2019/01/07 00:00:00+00,"93",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Laruns,modis/sentinel,13.8297872340278,0,3.19148936169873,0,82.978723404167,0,0,0,0,1.34222239020291,"0",2022/03/02 11:51:40.501,EU,EU
,,"17915",2019/02/27 00:00:00,2019/02/27 00:00:00+00,"99",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Banca,modis/sentinel,51.5463917525242,0,0,0,48.4536082473727,0,0,0,0,6.763504951998,"0",2022/03/02 11:51:40.501,EU,EU
,,"17916",2019/02/14 00:00:00,2019/02/14 00:00:00+00,"268",FR,FRA,France,Nouvelle-Aquitaine,Aquitaine,Pyrénées-Atlantiques,Estérençuby,modis/sentinel,25.8302583025735,0,0,0,62.7306273062499,0,11.4391143911397,0,0,9.10134692392514,"0",2022/03/02 11:51:40.501,EU,EU
